Item,Price,Link,Notes
Dell optiplex,$80.98,https://www.amazon.com/Dell-3020-Micro-Professional-bit-Multi-Language/dp/B07K1F5YF2?crid=3BKB68OSS98AU&dib=eyJ2IjoiMSJ9.wfqEqZityVrZ6eaqj242zEq8J00XMCYGFeGZazTj34DOyyMpivgDC4TJC5S0LiWFBaQEYjr2tyeKcf0cLIZlK8Ig0xmAe-pU_N63CovgIXKtNFrp_Uj884S07oUOhOmwrp-DBWbKmu1_nknizk85tHksRL2J3J9nk5VOQ4Csz1RaI2tc5GiC_tvJaRzGQo0kfExLj7LzhasTtivUI2Y5Xj8--iO-KozeGJ9s8iLKNNE.bZ64fqqcfk3yOu7uMxAhjNns0_co1-0pbyh3RIJjkRU&dib_tag=se&keywords=mini+pc&qid=1770570047&refinements=p_36%3A-13000&rnid=2421879011&sprefix=mini+p%2Caps%2C132&sr=8-1,Could use raspi or similarly priced mini pc
Monitor,$0.00,Name Brand 24in LCD | DisplayPort | Adjustable Stand | DisplayPort and Power Cable,Coud use something else for the monitor like tv so optional
PCB,$7.30,Cart,
joysicks 2x,$10.50,Digikey COM-09032,
Seeed Studio Xiao,$3.90,"Seeed Studio XIAO RP2040, Mini Arduino Dev Board with RP2040 and MicroPython Support",
Keycaps,$5.95,https://www.adafruit.com/product/4998?gad_campaignid=234382521388,Could try to 3D Print
LED,$2.95,https://www.adafruit.com/product/4960?gad_campaignid=23438252138,Optional
Switches,$3.80,https://www.adafruit.com/product/5123,
Total,$115.38,,
,,,
,,,
,,,
,,,
,,,
,,, 
